0.088,0.027256472,0.275
0.032,0.024412294,0.238
0.086,0.052455916,0.206
0.048,0.183579704,0.137
0.123,0.534081899,0.167
0.041,0.150742283,0.338
0.04,0.076873442,0.215
0.046,0.076772101,0.46
0.134,0.632790143,0.419
0.092,0.542683219,0.218
0.159,0.73153126,0.236
0.073,0.223565967,0.113
0.123,0.37364433,0
0.018,0.044807156,0.085
0.059,0.344542974,0.15
0.043,0.293435459,0.09
0.088,0.323596471,0.204
0.024,0.040882927,0.041
0.091,0.445563627,0.337
0.133,0.524697907,0.151
0.046,0.058572091,0.072
0.055,0.276600854,0.292
0.066,0.039028226,0.098
0.066,0.245579455,0.234
0.06,0.097287714,0.283
0.199,0.821787477,0.126
0.073,0.404173784,0.219
0.039,0.027968591,0.169
0.032,0.151814609,0.237
0.056,0.184754306,0.202
0.012,0.031496247,0.14
0.046,0.076587185,0.323
0.027,0.141769072,0.176
0.039,0.056307091,0.221
0.048,0.401359459,0.074
0.016,0.048388035,0.194
0.033,0.02699972,0.134
0.077,0.013764025,0.237
0.099,0.231468131,0.205
0.125,0.271868315,0.28
0.005,0.016452031,0
0.022,0.118128439,0.185
0.068,0.301193501,0.256
0.053,0.238532777,0.121
0.125,0.295606444,0.304
0.039,0.002024643,0.169
0.084,0.030577927,0.133
0.033,0.143122281,0.101
0.034,0.036926376,0.116
0.049,0.129635679,0.346
0.049,0.09159365,0.208
0.059,0.226234102,0.151
0.086,0.081647232,0.131
0.034,0.070782002,0.257
0.174,0.630826927,0.263
0.046,0.032117729,0.273
0.106,0.16270337,0.15
0.148,0.392252952,0.168
0.101,0.182893423,0.131
0.112,0.281546583,0.116
0.097,0.595836884,0.233
0.06,0.227677641,0.07
0.108,0.498210291,0.108
0.052,0.421955248,0.453
0.078,0.191559773,0.23
0.169,0.272921551,0.205
0.077,0.147834738,0.534
0.056,0.134801129,0.318
0.09,0.266823332,0.629
0.102,0.422204762,0.131
0.057,0.060034642,0.408
0.08,0.257919425,0.164
0.017,0.073887493,0
0.047,0.060745903,0.12
0.039,0.287146069,0.099
0.049,0.026596099,0.355
0.043,0.065544261,0.197
0.084,0.395820768,0.142
0.061,0.13926832,0.193
0.054,0.062802893,0.196
0.099,0.142418208,0.429
0.038,0.063099949,0.153
0.08,0.058096084,0.174
0.032,0.029080007,0.127
0.037,0.009789602,0.339
0.015,0.016026865,0.276
0.06,0.077404462,0.246
0.055,0.022224243,0.383
0.168,0.489796238,0.595
0.066,0.153016122,0.351
0.086,0.234870429,0.368
0.133,0.114865259,0.48
0.058,0.247333256,0.179
0.109,0.267471658,0.139
0.064,0.044916903,0.327
0.081,0.156236444,0.281
0.015,0.189979771,0.068
0.119,0.500318253,0.216
0.079,0.111609758,0.183
0.071,0.339979183,0.131